,9861,10021,12876,14380,15496,15697
1,2,0,4,2,4,3
2,0,1,0,0,0,0
3,5,2,3,3,3,3
4,3,2,0,0,0,0
5,0,3,1,2,1,1
6,1,2,0,0,0,0
7,1,1,0,1,0,0
8,0,0,0,0,0,0
9,2,2,1,2,3,2
10,1,1,0,0,0,0
11,3,0,1,1,3,2
12,5,1,0,0,0,0
13,2,2,0,1,3,2
14,0,1,0,0,0,0
15,5,2,1,5,3,3
16,4,1,0,0,0,0
17,1,0,1,2,1,4
18,2,1,0,0,0,0
19,0,2,0,1,3,1
20,2,0,0,0,0,0
21,1,3,1,1,1,1
22,1,2,0,0,0,0
23,1,0,3,1,3,3
24,0,0,0,0,0,0
25,4,3,0,1,2,5
26,0,5,0,0,0,0
27,1,2,0,0,2,1
28,6,6,0,0,0,0
29,1,3,0,1,1,0
30,0,0,0,0,0,0
31,1,1,1,1,0,0
32,1,2,0,0,0,0
33,2,0,1,1,1,0
34,0,0,0,0,0,0
35,1,3,2,1,2,1
36,1,1,0,0,0,0
37,0,1,0,3,1,1
38,0,0,0,0,0,0
39,3,0,0,1,0,1
40,1,0,0,0,0,0
41,3,4,2,2,3,1
42,3,2,0,0,0,0
43,1,0,1,2,5,4
44,1,1,0,0,0,0
45,2,4,3,7,5,4
46,7,3,0,0,0,0
47,3,8,3,6,5,2
48,5,8,0,0,0,0
49,2,7,6,4,4,9
50,4,7,0,0,0,0
51,2,0,0,3,2,3
52,3,1,0,0,0,0
53,5,2,1,4,2,2
54,3,0,0,0,0,0
55,2,4,2,1,2,0
56,5,3,0,0,0,0
57,4,4,4,1,0,3
58,5,1,0,0,0,0
59,0,0,1,0,1,2
60,4,0,0,0,0,0
61,0,1,1,2,2,1
62,1,1,0,0,0,0
63,2,3,2,1,1,2
64,1,1,0,0,0,0
65,1,3,1,0,3,0
66,0,0,0,0,0,0
67,2,4,1,4,1,2
68,4,3,0,0,0,0
69,2,0,2,3,0,4
70,2,1,0,0,0,0
71,4,0,0,3,2,1
72,2,0,0,0,0,0
73,3,6,4,5,6,6
74,4,1,0,0,0,0
75,7,2,2,3,1,5
76,5,0,0,0,0,0
77,1,1,2,1,1,3
78,1,1,0,0,0,0
79,7,0,3,5,4,6
80,4,1,0,0,0,0
81,3,2,2,3,0,3
82,1,2,0,0,0,0
83,2,0,4,3,4,1
84,3,1,0,0,0,0
85,2,3,2,5,4,3
86,2,1,0,0,0,0
87,2,3,4,3,3,3
88,6,4,0,0,0,0
89,3,3,0,3,1,3
90,0,2,0,0,0,0
91,3,0,2,1,3,1
92,2,1,0,0,0,0
93,2,1,0,4,2,3
94,2,0,0,0,0,0
95,8,3,1,3,1,2
96,9,7,0,0,0,0
97,2,0,1,0,1,3
98,1,0,0,0,0,0
99,6,1,3,3,3,1
100,3,1,0,0,0,0
101,2,2,4,5,4,5
102,6,1,0,0,0,0
103,7,3,4,14,4,11
104,10,6,0,0,0,0
105,1,1,4,2,3,4
106,7,4,0,0,0,0
107,6,5,2,0,7,6
108,7,6,0,0,0,0
109,2,1,0,1,2,2
110,2,2,0,0,0,0
111,3,1,3,2,2,0
112,2,3,0,0,0,0
113,6,3,2,1,1,1
114,12,1,0,0,0,0
115,0,0,2,4,0,3
116,1,0,0,0,0,0
117,2,0,0,0,0,3
118,0,0,0,0,0,0
119,3,1,0,1,1,2
120,2,9,0,0,0,0
121,5,1,2,0,0,0
122,1,3,0,0,0,0
123,1,0,1,0,0,2
124,2,0,0,0,0,0
125,0,0,3,2,0,2
126,0,1,0,0,0,0
127,3,0,1,1,2,1
128,0,0,0,0,0,0
129,0,0,1,4,1,0
130,1,0,0,0,0,0
131,1,2,1,1,0,1
132,0,1,0,0,0,0
133,0,0,4,0,2,3
134,0,3,0,0,0,0
135,3,4,1,2,5,6
136,0,3,0,0,0,0
137,4,2,3,3,1,1
138,4,1,0,0,0,0
139,6,1,1,2,2,3
140,5,3,0,0,0,0
141,2,3,3,3,4,1
142,2,2,0,0,0,0
143,1,8,4,3,3,0
144,2,3,0,0,0,0
145,0,0,2,4,1,2
146,1,1,0,0,0,0
147,0,0,1,3,2,0
148,1,0,0,0,0,0
149,1,2,3,2,1,4
150,3,1,0,0,0,0
151,1,0,6,2,2,1
152,0,3,0,0,0,0
153,0,3,3,1,3,2
154,3,2,0,0,0,0
155,8,3,3,5,3,3
156,6,5,0,0,0,0
157,1,0,3,3,2,1
158,2,1,0,0,0,0
159,2,1,4,2,2,1
160,3,2,0,0,0,0
161,0,2,0,2,0,3
162,2,2,0,0,0,0
163,3,4,2,2,0,2
164,2,4,0,0,0,0
165,0,1,0,1,0,1
166,1,1,0,0,0,0
167,3,0,0,0,1,0
168,1,3,0,0,0,0
169,1,0,0,5,1,1
170,1,0,0,0,0,0
171,0,0,8,2,1,3
172,1,1,0,0,0,0
173,2,1,0,1,3,1
174,2,1,0,0,0,0
175,3,3,1,4,3,3
176,0,1,0,0,0,0
177,2,1,3,2,4,4
178,3,1,0,0,0,0
179,3,2,0,3,1,0
180,2,2,0,0,0,0
181,0,0,4,2,0,9
182,3,0,0,0,0,0
183,1,2,0,2,3,2
184,1,1,0,0,0,0
185,3,4,1,4,3,4
186,5,5,0,0,0,0
187,1,2,1,0,1,2
188,3,2,0,0,0,0
189,1,2,0,3,2,2
190,0,1,0,0,0,0
191,2,2,1,3,5,1
192,2,2,0,0,0,0
193,0,4,0,6,1,0
194,0,1,0,0,0,0
195,3,4,4,9,6,7
196,3,2,0,0,0,0
197,3,2,6,1,6,8
198,3,3,0,0,0,0
199,1,1,0,3,2,2
200,2,3,0,0,0,0
201,0,2,2,2,3,2
202,1,3,0,0,0,0
203,0,3,0,6,1,1
204,1,1,0,0,0,0
205,4,2,0,1,5,7
206,2,3,0,0,0,0
207,0,1,0,1,2,3
208,0,0,0,0,0,0
209,0,0,0,3,2,2
210,1,3,0,0,0,0
211,0,2,0,0,2,9
212,1,4,0,0,0,0
213,3,0,1,2,6,1
214,1,1,0,0,0,0
215,15,9,11,5,8,6
216,0,7,0,0,0,0
217,25,19,16,25,18,14
218,23,31,0,0,0,0
219,6,1,6,5,2,3
220,7,2,0,0,0,0
221,3,0,1,13,5,4
222,7,2,0,0,0,0
223,3,0,11,6,7,12
224,2,3,0,0,0,0
225,4,4,3,1,8,2
226,0,3,0,0,0,0
227,1,6,5,10,5,6
228,5,7,0,0,0,0
229,8,8,8,6,5,4
230,8,4,0,0,0,0
231,2,4,6,1,5,2
232,3,2,0,0,0,0
233,3,1,3,9,3,2
234,3,7,0,0,0,0
235,8,5,3,1,0,0
236,7,3,0,0,0,0
237,1,6,1,4,1,1
238,6,5,0,0,0,0
239,6,3,2,10,3,5
240,7,9,0,0,0,0
241,5,5,1,1,2,4
242,2,4,0,0,0,0
243,1,5,0,2,0,2
244,0,2,0,0,0,0
245,6,5,2,6,7,5
246,7,7,0,0,0,0
