,9861,10021,12876,14380,15496,15697
1,3,4,0,5,9,10
2,1,2,0,6,5,5
3,2,5,0,5,4,1
4,3,5,0,5,5,8
5,3,5,9,8,7,9
6,5,3,6,6,7,9
7,0,2,3,2,1,4
8,13,6,9,8,3,9
9,6,13,3,9,7,9
10,7,5,7,11,4,10
11,4,3,4,3,0,1
12,1,1,4,4,5,1
13,5,1,4,6,1,4
14,12,7,10,6,12,11
15,1,2,3,3,2,4
16,3,4,4,8,3,6
17,4,0,0,2,2,1
18,1,1,1,0,1,1
19,1,3,2,2,2,3
20,8,6,2,4,6,4
21,3,3,4,3,5,2
22,4,2,7,14,8,8
23,3,2,1,1,5,1
24,2,4,4,2,3,2
25,2,0,2,2,3,2
26,5,2,2,4,5,3
27,9,4,10,8,9,8
28,8,18,10,12,9,9
29,19,9,8,21,11,27
30,15,6,9,14,9,15
31,4,2,6,3,2,2
32,5,7,2,2,1,4
33,2,3,2,0,0,3
34,2,3,1,3,6,1
35,0,0,1,2,2,1
36,1,1,2,3,4,1
37,3,3,2,7,3,3
38,2,0,3,2,3,4
39,2,2,4,3,2,4
40,3,7,5,4,5,6
41,13,3,7,8,10,7
42,6,5,2,5,3,4
43,4,6,2,6,5,2
44,4,5,3,6,10,6
45,0,2,2,3,1,3
46,2,1,1,3,0,3
47,8,3,5,9,9,7
48,1,0,5,2,1,6
49,21,11,6,7,9,7
50,5,4,3,1,3,3
51,7,8,0,0,0,0
52,3,4,0,0,0,0
53,4,3,0,0,0,0
54,3,3,0,0,0,0
55,1,3,0,0,0,0
56,0,2,0,0,0,0
57,0,3,0,0,0,0
58,7,4,0,0,0,0
59,1,2,0,0,0,0
60,11,3,0,0,0,0
61,7,1,0,0,0,0
62,2,1,0,0,0,0
63,2,1,0,0,0,0
64,7,2,0,0,0,0
65,11,10,0,0,0,0
66,0,2,0,0,0,0
67,2,2,0,0,0,0
68,4,2,0,0,0,0
69,3,3,0,0,0,0
70,7,5,0,0,0,0
71,4,0,0,0,0,0
72,8,10,0,0,0,0
73,2,4,0,0,0,0
74,1,3,0,0,0,0
75,0,1,0,0,0,0
76,3,2,0,0,0,0
77,6,3,0,0,0,0
78,13,13,0,0,0,0
79,18,17,0,0,0,0
80,3,5,0,0,0,0
81,2,5,0,0,0,0
82,2,0,0,0,0,0
83,18,7,0,0,0,0
84,2,0,0,0,0,0
85,2,2,0,0,0,0
86,10,6,0,0,0,0
87,4,4,0,0,0,0
88,3,1,0,0,0,0
89,3,2,0,0,0,0
90,6,4,0,0,0,0
91,1,2,0,0,0,0
92,5,10,0,0,0,0
93,6,3,0,0,0,0
94,2,1,0,0,0,0
95,4,3,0,0,0,0
96,2,1,0,0,0,0
97,36,31,0,0,0,0
98,6,1,0,0,0,0
99,7,6,0,0,0,0
100,2,2,0,0,0,0
